"sample_size","fitted_kl"
10,0.624713448260671
20,0.343878857353017
30,0.194427536375745
40,0.114894252140128
50,0.0725691441388055
60,0.0500450552049624
70,0.0380584447447171
80,0.0316795483219729
90,0.0282849006267757
100,0.0264783760791408
110,0.0255170006333693
120,0.0250053869113514
130,0.024733122207995
140,0.0245882315111596
150,0.0245111252473999
160,0.0244700917232273
170,0.0244482549745129
180,0.0244366341448614
190,0.0244304499054603
200,0.0244271588480989
210,0.0244254074510631
220,0.0244244754127422
230,0.0244239794113137
240,0.0244237154549811
250,0.0244235749857374
260,0.0244235002324317
270,0.0244234604510776
280,0.0244234392806944
290,0.0244234280144835
300,0.024423422018961
310,0.0244234188283328
320,0.024423417130381
330,0.0244234162267846
340,0.024423415745919
350,0.0244234154900175
360,0.0244234153538348
370,0.0244234152813627
380,0.0244234152427953
390,0.0244234152222709
400,0.0244234152113485
410,0.0244234152055359
420,0.0244234152024427
430,0.0244234152007965
440,0.0244234151999205
450,0.0244234151994543
460,0.0244234151992062
470,0.0244234151990742
480,0.0244234151990039
490,0.0244234151989666
500,0.0244234151989467
